"date","GE.daily","SP500.daily","DCOILWTICO.daily"
2000-01-04,-0.0408219945202566,-0.0390992268757211,NA
2000-01-05,-0.00173761989854082,0.00192037981152726,-0.036251729020635
2000-01-06,0.0132681097833958,0.000955246084130223,0.00566344555840015
2000-01-07,0.037986923002626,0.0267299352626784,0
2000-01-10,-0.000132205184176411,0.00370927376610967,-0.00107744201552684
2000-01-11,0.00165152803847279,-0.0131486342692311,0.0388937911212737
2000-01-12,0.00329489589685261,-0.00439597894777588,0.0234671280619265
2000-01-13,0.0114473858403503,0.0120962081152154,0.0124694606421221
2000-01-14,-0.0180480698717025,0.0106147838843595,0.0505231894461762
2000-01-18,-0.00501689076270206,-0.00171387759505959,0.00851108690512981
2000-01-19,0.00485306964907117,0.000522150171256897,0.00447582086499576
2000-01-20,-0.0188697650757126,-0.00712055864526651,0.0190546765451987
2000-01-21,-0.0124799082424634,-0.00291659512656928,0.00134725517178547
2000-01-24,-0.0141734664610471,-0.00934087176496057,-0.00520137193221689
2000-01-25,0.00267505491552322,0.00604648372905192,0.0346078548913824
2000-01-26,0.0210052732619386,-0.00422157464623751,-0.0905001023326357
2000-01-27,0.00218934371852875,-0.00394627026319938,-0.0160353290132922
2000-01-28,-0.056225142656948,-0.0278407959631295,0.001835199634177
2000-01-31,0,0.00830163455697589,0.00461284370361555
2000-02-01,0.0148150857851403,0.0105716921142296,0.0225291130600285
2000-02-02,-0.0143674248062426,-0.000113539597056622,-0.0272418279632292
2000-02-03,0.0379834178775829,0.0111853647924134,0.0265343641912383
2000-02-04,0.0164527766698699,-0.000421150167315254,0.0144039026388971
2000-02-07,-0.012133013617416,-3.04241952132263e-05,-0.00315404490937269
2000-02-08,0.00409417153266389,0.0121985071366462,-0.0124005131984548
2000-02-09,-0.0221313252278685,-0.021035109710188,0.023256862164267
2000-02-10,0.0102412768950697,0.00362024619907775,0.026805728694212
2000-02-11,-0.0125563520487626,-0.0211923264857266,0.000677966127663687
2000-02-14,0.00156640723862855,0.000676975163012905,0.00880617452015834
2000-02-15,0.0229523096146234,0.00867487057124627,-0.00429965934435339
2000-02-16,-0.0134721615886919,-0.0103093696588612,-0.00531739371869433
2000-02-17,-0.0349544323167845,0.000425082771456253,-0.0215569142417467
2000-02-18,-0.0459240464041506,-0.0308470706554269,0.00475544374431935
2000-02-22,0.00883345405064284,0.00112665389736089,0.00101454315765637
2000-02-23,0.00676613376317592,0.00628121466797271,0.0187233821332735
2000-02-24,0.00382409643840331,-0.00534981306308779,0.00132406507261962
2000-02-25,-0.0378842021020471,-0.0149400387142782,0.00363216512901943
2000-02-28,0.00863477740369338,0.00365234384619069,-0.00253654380891459
2000-02-29,0.0224591213805931,0.0135350771570346,0.0151617934091006
2000-03-01,-0.00758268722644928,0.00930218937356919,0.0366129526475127
2000-03-02,0.0290310302622649,0.00186167858329167,-0.00632713278107255
2000-03-03,0.030007349404825,0.019642829679662,-0.00158805813905172
2000-03-06,-0.00366619724458165,-0.00425889728882082,0.00764631589352834
2000-03-07,-0.0561146527835623,-0.0259652724608896,0.0517591690756878
2000-03-08,0.0028434217044313,0.00814016073205703,-0.0823560992991186
2000-03-09,-0.0101038227951413,0.0252795764786162,0.0124146111402403
2000-03-10,0.0206382713604545,-0.00473405824136997,0.0047341101514089
2000-03-13,-0.00574440747064904,-0.00274711340155006,0.00365329057416242
2000-03-14,-0.0190303668515885,-0.0178437486671719,-0.00562150137473161
2000-03-15,0.0503637286168601,0.0239826272135319,-0.0468034137290729
2000-03-16,0.0399231180552388,0.0465458094686992,0.0204652261875706
2000-03-17,0.0063109790644833,0.00410546123246025,-0.00774697225017373
2000-03-20,0.00251645190123358,-0.0017892845902896,-0.0169499879818851
2000-03-21,0.065628816290054,0.0252445197011912,-0.0460492937173425
2000-03-22,0.00252173469621786,0.00452161557943587,-0.0264077562967557
2000-03-23,0.058688996348681,0.01764252379055,0.00694066713192099
2000-03-24,-0.00589232570483844,7.20175723190053e-05,0.0140974682444774
2000-03-27,-0.00235542515318491,-0.000786545204559452,-0.00324619337415507
2000-03-28,-0.0123592068198972,-0.0106413810652422,-0.0179196603435394
2000-03-29,0.0438941935572248,0.000523829270163034,-0.0276860182513485
2000-03-30,-0.0264195630339614,-0.0137498662078688,0.0116916285596163
2000-03-31,-0.0199134995840167,0.00713882154487955,0.00709885290116885
2000-04-03,0.0113290755985595,0.00163973859698352,-0.00727666582622725
2000-04-04,-0.0444517625708332,-0.00749162033511031,-0.0316996004871495
2000-04-05,-0.00449058709126771,-0.00493612886495143,0.0117143081068924
2000-04-06,0.0230191665657293,0.00934858299625319,-0.00975236908243282
2000-04-07,0.0122273372344646,0.00994808862928309,-0.0213954278620383
2000-04-10,0.00131971892732811,-0.00262403381915425,-0.0144594409404828
2000-04-11,0.0135802249007622,-0.00257566572235568,0.0108154132451581
2000-04-12,-0.0305957212922725,-0.0225229889053438,0.0531740236726326
2000-04-13,-0.0406890953241006,-0.0183381576485111,-0.00787715770615049
2000-04-14,-0.0320702589583282,-0.0600451339356312,0.00748477002208903
2000-04-17,0.0139958985385584,0.0108493986053023,0.00750258033091219
2000-04-18,0.0291754891339315,0.0282602651521948,-0.00538670021262533
2000-04-19,-0.00641027836091768,-0.00985689801946332,0.0547979483762289
2000-04-20,0.0191088616980455,0.00494059376538658,-0.00329248514005576
2000-04-24,0.00555301092881078,-0.000816925737392227,0.00109689389861189
2000-04-25,0.0240211513239639,0.0327343229552959,-0.0371651840056537
2000-04-26,-0.0167050202000021,-0.0111965722183163,-0.0673444229519529
